id_shortcode,text,topic,label
CvG1DPkLIoU,"Cegah Tumpahan Minyak Kapal Angel yang Tenggelam di Taiwan
Pemulihan diperkirakan memakan waktu lima hari dan ada kekhawatiran Angin Topan Doksuri dapat mengganggu upaya penyelamatan dan menyebabkan tumpahan minyak.

***URL***

#tumpahanminyak #tumpahan_minyak #oilspill #oilspillresponse #oilspills",Pollution,NEGATIVE
CuJxY2vvyoc,"Dalam rangka ""Hari Lingkungan Hidup Sedunia"" kemarin, ikut berpartisipasi lagi dalam lomba desain totebag dan lomba slogan. 
Alhamdulillah lolos 1..dari sekian slogan dan desain totebag yg dikirim. 😅😅🫰🏻

Totebag nya emang simple-simple banget..tp beneran dinans bgt..ahahaha.. 😅😅🤭
Next kita coba yang lebih rame lagi ah..😁😁

So let's make ""Bumiku Cantik, Tanpa Plastik""..mari kita mulai dari diri kita, dan mari kita mulai sekarang..for a better future. 😊🥰🫰🏻🌏

#harilingkunganhidupsedunia",Environment,POSITIVE
CvHVR8dJZly,"KANTONG PLASTIK SAMPAH 45X50CM ISI 20PCS / KANTONG PLASTIK GULUNG ROLL / PLASTIC TRASH. 
Klik di Bio no. 8

#sampahplastik #pedulilingkungan #zerowaste #sampah #daurulang #lingkungan #kurangisampahplastik #zerowasteindonesia #sayapilihbumi #cintalingkungan #lingkunganhidup #selamatkanbumi #ramahlingkungan #belajarzerowaste #haribumi #banksampah #saveearth #indonesia #gogreen #recycle #pilahsampah #bhayplastik #plastik #environment #dietplastik #bebassampah #sedotanbambu #sampahorganik #zerowasteliving #saveourearth",Environment,NEUTRAL
CriX5sdORlc,"Polusi udara adalah topik bahasan yang dekat dengan kehidupan sehari-hari, tetapi terasa jauh karena tak teraba atau kasat mata. Lain hal dengan rokok, meski sama-sama mengganggu kesehatan, tetapi banyak orang telah sadar efek buruk pembakaran tembakau.

Padahal efek polusi udara berdampak pada lebih banyak orang karena menjangkau wilayah yang luas ketimbang asap rokok.

Sadar bahwa banyak orang tak familiar terhadap efek polusi udara, Richard A. Muller dan Elizabeth A. Muller dari Berkeley Earth membuat persamaan paparan polusi udara dengan jumlah batang rokok. Berkeley Earth adalah organisasi independen nonprofit asal Amerika Serikat yang fokus pada data dan analisis lingkungan.

Dengan begitu, orang akan lebih mudah menakar dampak buruk kesehatan dari polusi udara, sebab terlihat dari jumlah batang rokok yang diekuivalen. “Satu batang rokok setara dengan polusi udara PM2.5 sebesar 22 µg/m³ selama satu hari,” tulis studi tersebut.

Peneliti mendapat rumus tersebut dari analisis kematian di Cina akibat polusi dengan rasio kematian terhadap rokok per tahun. 

Menurut World Air Quality Report IQAir, pada Minggu, 9 April 2023 pukul 06.00 WIB, Tangerang Selatan menjadi kabupaten/kota yang memiliki kualitas udara terburuk di Indonesia. Konsentrasi rata-rata PM2.5 di Tangerang Selatan mencapai 190 µg/m³.

Jakarta berada di urutan ketiga kota terpolusi di Indonesia dengan polutan PM2.5 mencapai 48,6 µg/m³. Artinya, setiap orang di Jakarta pada tahun tersebut rata-rata mendapat paparan polusi udara setara merokok 2,2 batang.

Selengkapnya, klik link di bio.

#KatadataNews #Katadata #Katadatacoid #PolusiUdara #Rokok #Jakarta #Kesehatan #Indoneisia #AnalisisData #AnalasisKatadata #KalauBicaraPakaiData",Pollution,NEGATIVE
COC9iS8HXsP,"HARIAN PELITA BALI — Panglima TNI Marsekal Hadi Tjahjanto menyebut kapal selam yang membawa 53 manifes prajurit TNI AL itu tenggelam berdasarkan bukti otentik penemuan tumpahan minyak dan serpihan.

“Unsur-unsur TNI telah menemukan tumpahan minyak dan serpihan yang menjadi bukti otentik menuju fase tenggelamnya KRI Nanggala,” ujar Hadi dalam konferensi pers di Bali, Sabtu (24/42021).

Hadi menjelaskan selama empat hari ini pihaknya dibantu dengan seluruh instansi terkait dan armada Militer negara sahabat telah berupaya mencari KRI Nanggala 402.

Dan Sabtu (24/4/2021) dini hari, lanjut Hadi, adalah batas akhir dari ketersediaan oksigen di kapal selam buatan Jerman tersebut.

Dikatakannya TNI AL bersama Polri, Basarnas, KNKT, dan BPBD serta aset-aset negara sahabat, sepeti Australia, Amerika Serikat, Singapura dan Malaysia telah berupaya semaksimal mungkin untuk mencari keberadaan KRI Nanggala.

Hari ini, Sabtu (24/4/2021) pagi dini hari merupakan batas akhir life support berupa ketersediaan oksigen di KRI Nanggala selama 72 jam. ●Red/Esa

#ditemukanserpihan #kapalnanggala402 #tumpahanminyak 
#prescon #panglimatni 
#bali #indonesia 
#harianpelitadotcom",Pollution,NEGATIVE
CpkHTvjBp5H,"Kalian tau gak sih? Yang namanya pohon bakau itu banyak banget gunanya buat lingkungan. Mulai dari mencegah banjir, ngebersihin racun di air yang biasa kita pakai, sampai ngurangin efek badai secara drastis. Nah, karena itu, rekan kami di Indika Energy getol banget nih ngusahain rehabilitasi hutan bakau. Kalo bukan kita yang ngejaga alam, siapa lagi?

#OurFutureEconomy #EkonomiMasaDepanKita #PeduliLingkungan #PohonBakau #PecintaLingkungan #Jagalingkungan #LingkunganHidup #cintailingkungan",Environment,POSITIVE
Crm9VDgLvqJ,"Syukurlah Warga Kota Binjai masih ada yang peduli sampah. Beberapa foto yang bisa tertangkap Mimin saat berada di Taman Remaja, 
Lewat foto-foto ini mimin yakin warga Kota Binjai masih cukup banyak yang peduli sampah,meski mimin rasa masih lebih banyak yang buang sampah sembarangan, meski begitu, kami ucapkan banyak terima kasih kepada Warga Binjai yang sudah buang sampah pada tempatnya, pertanda warga masih mencintai kotanya dan peduli dengan sesama khususnya kepada Petugas Kebersihan. 

#pahlawanlingkungan #pedulilingkungan #pedulikebersihan #kotabinjai #environment #kebersihansebahagiandariiman #stopbuangsampahsembarangan #jagakebersihan #bijakkelolasampah #sampahmutanggungjawabmu #kotabinjai #binjaimajuberbudayareligius #tamankota",Environment,POSITIVE
Cr48O7TP_A5,"Halo, Halo #Sobatbpkhtl7,

Limbah serbuk gergaji kayu termasuk dalam jenis limbah organik yang berarti mudah mengalami pembusukan. Jika terbuang begitu saja, limbah ini tentu dapat mengotori lingkungan. Namun jika dibakar juga dapat menimbulkan polusi udara.

Sejauh ini sudah ada produk-produk inovasi yang dapat mengurangi limbah serbuk kayu. Apa saja produk-produk tersebut?

Yuk, simak ulasan berikut ini untuk selengkapnya!

Sumber: lindungi hutan

#bpkhtlwilayah7makassar #bpkhtl #HutanPunyaRencana #KementerianLHK #DitjenPKTL #SinergyPKTL #planologi #tatalingkungan #perencanaanwilayahdankota #geografi #kawasanhutan #klhk #hutan #kementerianlhk #jagahutan #planologi #tatakelolahutan #klhk #ayoketamannansional #lindungihutan #hutanindonesia #serbukkayu #limbah #daurulang #inovasi #ecofriendly",Waste,NEUTRAL
CtAafGpLM62,"Hari Ahad ada acara apa? 

Luangkan waktu sejenak yuk untuk turut serta dalam acara memperingati Hari Lingkungan Hidup Sedunia. Mari bergabung dalam acara tuang Eco Enzyme ke Sungai di dekat Bukit Teratai Citra Indah City, Jonggol. 

Yuk bersama ciptakan lingkungan yang sehat demi bumi yang lestari!

#pcsalimahjonggol
#ecoenzym
#harilingkunganhidupsedunia",Environment,POSITIVE
Ct2yTgaptz8,"Demo Solusi untuk Polusi Plastik melalui Ecobrick pada perayaan Hari Lingkungan Hidup Sedunia di Sumba Tengah.  Solusi harus dimulai dari diri sendiri bertanggungjawab dengan plastik yang kita hasilkan
#ecobrick
#sumbatengah
#ntt
#harilingkunganhidupsedunia",Environment,POSITIVE
CvPyTlZrvBY,"Deretan Negara dengan Pembangkit Tenaga Angin Terbesar di Dunia! 🌏

Saking potensialnya penggunaan angin sebagai sumber energi, penggunaan pembangkit listrik tenaga angin terus berkembang secara pesat di seluruh dunia. Kamu bisa melihat postingan di atas untuk mengetahui negara mana yang memiliki PLTB paling besar di Dunia! 

Kira-kira kamu tau gak, berapa kapasitas terbesar PLTB yang ada di negara kita? Komen di bawah ya! ⤵️

#transgasindo #gasalam #gaspipeline #hematenergi #hematgasalam #emisikarbon #gasemisi",Energy,POSITIVE
CtgeDsQroNy,"Jangan biarkan kebersihan udara menjadi sesuatu yang hanya diinginkan, tapi tidak diupayakan.

Saat subuh pun, sudah menjadi waktu yang buruk untuk menghirup udara segar.

So, memakai masker merupakan salah satu upaya agar kalian terhindar dari dampak buruk polusi. Jika tidak ada kepentingan untuk keluar rumah, mending di rumah saja ya, Teman JITO✨

#TemanPelindungku
#MaskerJITO
#polusiudara
#DKIJakarta
#krisisudara
#dampakburukpolusi
#infokesehatan",Pollution,POSITIVE
CtgDXaPPj4T,"15/06. 

Dalam Rangka Hari Lingkungan Hidup Sedunia Tahun 2023 yang mengusung tema -Solusi Untuk Polusi Plastik-

Pemerintah Provinsi Kalimantan Timur mengadakan kegiatan ""Penganugerahan Penghargaan Proper, Adiwiyata dan Kalpataru"" di Hotel Mercure Samarinda, Kalimantan Timur.

Dikegiatan tersebut Gubernur Kalimantan Timur Bapak Dr. Ir. H. Isran Noor, M.Si. memberikan penghargaan PROPER BIRU kepada PT PLN Indo Ridlatama Power yang diwakilkan oleh Bapak Heru Wibowo selaku Manager Unit.

Terima kasih untuk Pemerintah Provinsi Kalimantan Timur dan Bapak Gubernur Kalimantan Timur serta panitia penyelenggara yang sudah memberikan penghargaan kepada kami selaku PT PLN Indo Ridlatama Power.

#plnindoridlatamapower 
#properbiru 
#provinsikalimantantimur 
#harilingkunganhidupsedunia",Environment,POSITIVE
Cxwl1nkxq-c,"Dalam rangka pelaksanaan ketentuan Diktum Ketiga Keputusan Menteri ESDM No. 146.K/HK.02/DJE/2021 tentang Harga Indeks Pasar Bahan Bakar Nabati Jenis Biodiesel yang Dicampurkan ke Dalam Bahan Bakar Minyak sebagaimana telah diubah dengan Keputusan Menteri ESDM No. 21.K/HK.02/DJE/2023, dengan ini kami sampaikan bahwa besaran konversi Crude Palm Oil menjadi Biodiesel adalah sebesar 85 USD/MT dan besaran Harga Indeks Pasar Bahan Bakar Nabati Jenis Biodiesel bulan September 2023 sebesar Rp 10.687,-/liter ditambah ongkos angkut yang berlaku efektif pada tanggal 1 September 2023.

Source: ebtke.esdm.go.id (Direktorat Jenderal EBTKE - Kementerian ESDM)

#hargaindekspasar #bahanbakarnabati #hip #bbn #biodiesel #crudepalmoil #cpo #esdm #dirjenebtke #kementerianesdm #charter #shipowner #shipbroker #sallymaritime #indonesia",Energy,NEUTRAL
CbC7-A0Jml4,"TUMPAHAN MINYAK... Pagi ini, Minggu (13/3) Dibawah kolong tol Ciledug Petukangan telah terjadi tumpahan minyak.. belum diketahui penyebab terjadi tumpahan namun petugas berusaha membersihkan. Hati2 licin ya gaes..

#Infopetukangan #tumpahanminyak #licin #hatihatidijalan

Video @***",Pollution,NEGATIVE
CsGXJtSSP7z,"List Prestasi Indonesia 🇮🇩🏆

Bukan prestasi yang kita sangka ya? Tapi ini kenyataannya..

Indonesia menjadi salah satu negara yang sedang ‘berperang’ dengan sampah & perubahan iklim

Kurangnya edukasi dan fasilitas yang menunjang gaya hidup ramah lingkungan menjadi salah satu penyebab. Ditambah lagi regulasi terkait lingkungan yang kurang ketat 🥲

Biar Indonesia gak juara di hal-hal yg salah, yuk kita sama-sama perjuangkan isu lingkungan 🌏

#indonesia #climatechange #plastik #zerowaste #lesswaste #zerowasteindonesia #sustainable #sustainability #ecofriendly #ramahlingkungan",Environment,NEGATIVE
CrxnKC2Pjwv,"Penasaran apa aja yang sudah diterapkan PaperOne™ untuk menjaga lingkungan? 

✨ Menggunakan bahan baku yang berkelanjutan: serat kayu yang berasal dari hutan yang dikelola secara berkelanjutan.

✨ Mengurangi emisi karbon:  dengan mengurangi penggunaan energi fosil dan mengganti dengan energi terbarukan seperti energi matahari atau angin.

✨ Selalu memperhatikan proses daur ulang atau diurai kembali seluruh produk PaperOne setelah digunakan.

Kertas berkualitas dan lingkungan tetap terjaga. Pastikan kamu hanya gunakan kertas PaperOne!

#PaperOne #DekatDenganmu #BanggaPaperOneBuatanIndonesia #KertasTerbaik #KertasA4 #KebutuhanKantor #KertasMultifungsi #KertasKantor #BeliKertas #CetakanSempurna #KertasHVS #ramahlingkungan #daurulang",Waste,POSITIVE
CtqYf20vu4P,"Panel Surya termasuk ke dalam teknologi hijau yang memanfaatkan energi panas matahari sebagai energi baru terbarukan.
Proses memproduksi listriknya tidak menghasilkan polusi, baik asap, suara ataupun bau di rumah dan kantor.

Sudah siap berinvestasi jangka panjang di sektor hijau? Ananta Energy menyediakan jaminan garansi hingga 12 tahun.

#solarpanel #solarpanelindonesia #panelsurya #panelsuryaindonesia #hematlistrik #energiterbarukan #energihijau #investasiproperti #investasisaham",Energy,POSITIVE
CtydvttPt2x,"Setiap napas adalah berharga. Polusi tidak hanya mempengaruhi bumi kita, tapi juga kesehatan kita. kira-kira seberapa baik kualitas udara di daerah kalian? coba tulis di kolom komentar.
.
#imaniprokami #polusi #polusiudara #dampakpolusiudara",Pollution,NEGATIVE
CuDyzU-xcmM,"Selamat Hari Raya Idul Adha 1444 H! Semoga perayaan ini membawa berkah, kebahagiaan, dan kedamaian bagi kita semua. Selamat merayakan hari yang penuh dengan semangat pengorbanan, keikhlasan, dan cinta sesama. Semoga setiap ketulusan kita dalam berbagi dapat menginspirasi dan membawa manfaat bagi orang-orang di sekitar kita. Mari kita saling mengingatkan untuk selalu berbagi, merawat, dan peduli kepada sesama, serta menjaga harmoni dalam kehidupan kita. Selamat Hari Raya Idul Adha! 

---

INTUSI - Beyond Monitoring

PT. Envirotama Integra Teknologi adalah pembuat pengembang, penyedia dan penyelenggara aplikasi platform monitoring lingkungan terpadu berbayar yang digunakan pelaku industri dalam melaksanakan pemantauan sistem manajemen lingkungan sesuai standar Industri dan regulasi terkait lingkungan yang di atur oleh Pemerintah.

#mitraintusi #mitramega #mmi #mitraMMI #platform #digitalplatform #aplikasilingkungan #intusi #intusisparing #klhksparing #sparing #CEMS #SISPEK #greenindustry #pemantauanlingkungan #iot #lingkungan #pencemaranlingkungan #limbah #pencemaranlimbahcair #pencemaranudara #emisi #industri #industritekstil #batubara #pertambangan #limbahindustri #SIMPELKLHK #properklhk",Pollution,POSITIVE
CtjNwfSyXlz,"Polusi udara Jakarta makin gak karuan. Langit berubah abu, napas jadi berat, bahkan bikin kesehatan kita dan anak-anak terganggu. Padahal masalah ini udah ada sejak tahun 70-an, tapi masih aja belum bisa teratasi sama pemerintah yang menjabat silih berganti di setiap periode. Malah sekarang makin buruk 🙁

Faktanya nih, polusi udara bisa mengurangi usia harapan hidup manusia sampai 2,9 tahun akibat menghirup polutan berbahaya. Belum lagi, ancaman kita saat ini gak berhenti di polusi udara, tapi juga laju krisis iklim yang bikin berbagai aspek makin pelik dan kompleks.

Nah, mau gamau situasi bumi kita saat ini emang bikin kita harus keluar zona nyaman dan berjuang lebih buat menyelamatkan keberlanjutan masa depan kita dan anak cucu kita! 👶🏻👧🏽🧒🏻👦🏿🧑

#polusiudara #krisisiklim #bumibutuhaksi #aksiiklim #pilihterbaruakan #pukulmundurkrisisklim",Climate change,NEGATIVE
CrzPndDPa8_,"7 Manfaat #Kopi untuk Kesehatan, Salah Satunya Cegah Kanker!

Menjaga Kesehatan Otak.
Menurunkan Risiko Terkena Diabetes Tipe 2.
Menjaga Kesehatan Liver.
Mengurangi Risiko Penyakit Parkinson.
Menjaga Kesehatan Jantung.
Menjaga Berat Badan Ideal.
#Mengurangi Risiko #Kanker.",Waste,NEUTRAL
CtfthTOJ8HK,"Salam Sehat #sobakriskes

Polusi udara adalah salah satu masalah lingkungan yang perlu untuk diperhatikan bersama, hal ini dikarenakan polusi udara tidak hanya bagi lingkungan namun juga akan mempengaruhi kesehatan masyarakat.

Yuk ketahui berbagai penyebab utama dari polusi udara pada postingan berikut ini.

#polusiudara
#harilingkungansedunia
#pusatkrisiskesehatan

Sumber @***",Pollution,NEUTRAL
CrlLbxjJ4ze,"Yuk Kenalan dengan Fotovoltaik!

Fotovoltaik adalah teknologi yang memanfaatkan sinar matahari menjadi energi listrik. Gampangnya, kamu bisa bayangkan fotovoltaik seperti kotak yang bisa menangkap sinar matahari dan mengubahnya menjadi listrik. Menarik, kan?

Dengan fotovoltaik, kamu bisa memanfaatkan energi matahari secara ramah lingkungan dan hemat biaya. Selain itu, fotovoltaik juga memiliki masa pakai yang lama dan tidak membutuhkan banyak perawatan. Jadi, yuk kita dukung penggunaan teknologi fotovoltaik untuk menjaga bumi kita tetap hijau dan lestari! 🌞💚 

#energiterbarukan #fotovoltaik #solarpower #solarpanel #ramahlingkungan #jagalahbumikita #generasimuda",Energy,POSITIVE
CsSVd3UP9xO,"Kita tidak bisa mengabaikan perubahan iklim, karena dampaknya sangat besar bagi kehidupan kita. Dari efek gas rumah kaca hingga penggunaan cholorofluorocarbon yang tidak terkontrol, banyak faktor yang menyebabkan perubahan iklim dan memengaruhi kehidupan kita secara langsung. Mari kita lebih peduli dengan lingkungan dan berusaha untuk mengurangi dampak perubahan iklim dengan tindakan kecil seperti menghemat energi dan menanam pohon💚🌿

#PerubahanIklim #PeduliLingkungan #GerakanIklim #HematEnergi #TanamPohon #DampakIklim #AksiIklim #GoGreen #SustainableLiving #ClimateAction #ClimateChangeAwareness #ClimateCrisis #SaveThePlanet #EcoFriendly #EnvironmentalProtection #GreenLiving #CarbonFootprint #ReduceReuseRecycle #LessWaste",Climate change,NEGATIVE
CU7lH8EA2Lq,"Implementasi Kurikulum Sustainable Living for Kids

Hari#11

Aktivitas
Izza belajar menggunakan LMA untuk menyusun kata yang berkaitan dengan sampah rumah tangga

Tujuan Aktivitas
Mampu menyusun kata-kata membentuk kosakata jenis sampah rumah tangga.

Refleksi
Kegiatan ini mempertajam literasi untuk Izza. 

Perasaan anak dan orang tua
Sama-sama bersemangat

Kegiatan selanjutnya yaitu piramida 5R

#montessorimethod
#montessoriathome 
#montessoriactivity 
#sustainable
#sustainablelivingforkids
#zerowasteforkids
#zerowaste
#language
#bahasa
#stimulasibahasabicara
#largemovablealphabet
#LMA
#metodemontessori
#montessoridirumah 
#sampahrumahtangga
#manajemensampah
#pedulilingkungan",Waste,NEUTRAL
CsAsk1-PsSX,"Pasalnya, proyek investasi hijau di Indonesia diproyeksikan bakal mencapai US$543,3 miliar #arsjadrasjid Ketua Kadin #transisienergi #inklusifkolaboratif",Energy,NEUTRAL
CTSr-0BhyoL,"[PRESS RELEASE CELENGAN SAMPAH 2.0]
Pejuang lingkungan! Kali ini tim KKNT Bogorkab13 pada program “Celengan Sampah 2.0” mengadakan diskusi untuk perencanaan pembangunan Bank Sampah Situ Sela Bangkit dengan ketua RT 02 RW 02, mitra karang taruna, dan pengurus bank sampah pada 31 Juli 2021. 

Tak hanya berdiskusi perencanaan saja, tetapi Tim KKN pun memberikan dua standing banner untuk menambah minat dan mengajak masyarakat datang untuk berdonasi sampah nih...

Kira-kira seperti apa ya hasil pembangunan Bank Sampah Situ Sela Bangkit?

#KKNTDesaPasirJambu  #IPBUniversity #KKNTIPB #CelenganSampah #DukungMasyarakatCIntaLingkungan #ManajemenSampah #BankSampah #DesaPasirJambu",Waste,POSITIVE
Ct0IbgxSWVE,"Matur sembah nuwun bagi pihak-pihak peduli lingkungan yang telah memilah sampahnya untuk dapat dikelola secara lebih bertanggung jawab

Pencapaian ini luar biasa, proficiat untuk seluruh Warga Kota Salatiga dan mari kita ajak keluarga, komunitas, dan teman-teman di sekitar kita untuk ikut terlibat melakukan aksi nyata demi peningkatan kualitas kesehatan diri dan lingkungan sekitar kita

Salam Telung-NG..!

#PilahSampahDariRumah

Dapat kami laporkan bahwa hasil Collecting Days ke 3 dalam rangka Hari Lingkungan Hidup Sedunia sampai tanggal 19 Juni 2023 terkumpul :
1. Limbah Lampu TL dan LED = 134,73 Kg
2. Komponen Elektronika = 70,08 Kg
3. Baterai Bekas = 15,06 Kg
4. Obat - obatan kadaluarsa = 21,94 Kg
5. Plastik Sachet = 480 Kg
Kami mengucapkan terima kasih kepada seluruh OPD dan masyarakat Kota Salatiga atas partisipasinya dalam pengumpulan sampah spesifik..

@*** 
@*** 
@*** 
@***.salatiga 
@*** 

#hlh2023 
#harilingkunganhidupsedunia 
#beatplasticpollution
Reposted from @***.salatiga",Environment,POSITIVE
CTefI7yBFTa,"INDUSTRY.co.id - Jakarta- Membicarakan nuklir, sepertinya tidak lagi menjadi hal yang menakutkan bagi masyarakat awam. Beragam nilai yang terkandung mulai dikupas satu per satu untuk dipelajari dan dikembangkan manfaatnya.

Tak sama dengan banyak kejadian, nuklir kerap diidentikkan dengan ledakan dan radiasi yang berbahaya. Namun, faktanya salah satu kecelakaan pembangkit nuklir yang ada, di Fukushima, Jepang, hanya satu orang yang diumumkan meninggal karena radiasi. Itu pun puluhan tahun setelah kejadian bencana alam di Fukushima.

Berdasarkan data, mayoritas penyebab kematian adalah karena bencana alam, seperti gempa dan tsunami yang bersamaan pada waktu itu.

 “Sebenarnya kejadian di beberapa PLTN di luar negeri seperti Fukushima dan Chernobyl hampir keseluruhan korban meniggal karena bencana alam dan kecelakaannya, bukan pada faktor radiasi nuklir,” kata Kepala Badan Tenaga Nuklir Nasional (BATAN) Anhar Riza Antariksawan kepada Antara.

 Lebih lanjut, ia menjelaskan bahwa stigma-stigma masyarakat terhadap missinformasi dari dampak buruk nuklir masih menjadi tantangan bagi pengembangan teknologi nuklir.

 Tak ubah seperti kayu kering dilahap api, informasi tersebut cepat tersambar dan termakan infonya jika hanya memahami mengenai dampak negatif nuklir. Salah satu wilayah pengembangan Pembangkit Listrik Tenaga Nuklir (PLTN) adalah Kalimantan Barat.

Baca berita selengkapnya di ***URL*** (Foto: Ilustrasi - Inti nuklir di dalam kolam reaktor riset nuklir di reaktor serba guna G.A. Siwabessy milik Badan Tenaga Atom (BATAN), Puspiptek, Tangerang Selatan, Banten. FOTO ANTARA/BNPT/RN/ed/nz/pri.)
—
#industrycoid #industry.co.id #industri #energi #ernergibersih #nuklir #indonesia #energinuklir",Energy,NEGATIVE
BwypuztHs-9,"Salah satu penyebab banjir di Bengkulu adalah aktivitas penggundulan hutan yang terus dilakukan oleh para pihak yang tidak bertanggung jawab.
.
.
.
Sumber @***.bkl
#banjir #banjirjakarta #sampah #plastik #nowaste #banjirbengkulu #bencana #musibah #ujian #hutan #forest #penggundulanhutan #buangsampahpadatempatnya #YoUseFull #jakarta #hujan #lingkungan #environment #bumi #earth",Environment,NEGATIVE
CvXSDVuxwV4,"Presiden RI Joko Widodo (Jokowi) memimpin rapat terbatas (ratas) terkait desain besar pemanfaatan gas nasional, Senin (31/07/2023) di Istana Merdeka, Jakarta. Dalam keterangan pers seusai ratas, Menteri Energi dan Sumber Daya Mineral (ESDM) Arifin Tasrif menekankan pemerintah memprioritaskan suplai gas untuk memenuhi kebutuhan dalam negeri.

baca berita selengkapnya melalui tautan di bio. 

#sinmetanews #beritaekonomi #beritadaerah #bisnisindonesia #ekonomi #beritalokal #beritanasional #newsflash #beritaindonesia #breakingnewsindonesia #indonesia #bisnisdanekonomi #bisnisindonesia #presidenjokowi #gasnegara #gasalam",Energy,POSITIVE
CsAliBOyUF-,"Jika ASEAN ingin menjadi sentralisasi baru dalam poros ekonomi global, ASEAN harus membuka diri dengan kehadiran negara-negara lain
#arsjadrasjid
#transisienergi
Ketua Kadin
#inklusifkolaboratif",Energy,POSITIVE
CpM0QNhvYQ0,"Macam - Macam Limbah Non B3 Yang Ada di Sekitar Kita.

Isu lingkungan saat ini telah perhatian yang sangat serius bagi sejumlah kalangan, Pasalnya kerusakan lingkungan akan sangat berdampak bagi keseimbangan ekosistem dimana masnusia sebagai salah satu pelakunya.

PT Mitra Tata Lingkungan Baru telah menangani pengelolaan limbah Non B3 selama kurang lebih 5 tahun.

----------------------------------------------------------------

Kunjungi website kami untuk informasi terkait pengelolaan, pengangkutan dan lainnya tentang limbah di ***URL***

#ptmtlb #mtlb #mitratatalingkunganbaru #pengelolalimbah #transportasilimbah #jasapengelolaanlimbah #konsultasipengelolaan #limbah #limbahnonb3 #limbahberbahaya #limbahberacun #transporterlimbahbnon3 #rumahsakit #medis #nonmedis #limbahindustri #sludge #rawatbumi #pedulilingkungan #bogor #indonesia #saveearth #limbahindustri #limbahplastik #limbahkaleng #limbahkertas #limbahdapur #limbahtetrapack",Waste,NEGATIVE
BdoOKtuhmaU,"Lestarikan hutan... hanya celoteh belaka, hutan terus saja digunduli, bukit-bukit tak pernah henti dipangkas, sehingga ekosistem yang sudah tercipta dan keindahan yang ada menjadi rusak tanpa pertanggung jawaban

#lestarikanhutan #lestarikanhutankita #salamlestari #omongkosong #dimasnyanyoe #penggundulanhutan #hutanindonesia #panoramaindonesia #indonesiaindah",Environment,NEGATIVE
CtESTyPvhKL,"Siapapun yang lihat postingan ini TOLONG:

JANGAN BUANG SAMPAH SEMBARANGAN

#janganbuangsampahsembarangan 
#pemanasanglobal 
#tidakestektik
#pendaki",Climate change,POSITIVE
CvwlthlvMdG,"Pemanfaatan energi surya di pabrik biskuit Jacobis!

Guna mewujudkan upaya dan komitmen sebagai perusahaan yang ramah lingkungan, PT Jadi Abadi Corak Biscuit (Jacobis) menunjuk Xurya, sebuah startup energi terbarukan yang mempelopori metode Rp0,- dalam pembiayaan PLTS Atap, untuk instalasi PLTS Atap di pabrik Jacobis yang berlokasi di Jawa Timur. 

Instalasi PLTS Atap ini akan mengurangi emisi karbon, menjadikan produk Jacobis lebih ramah lingkungan. 

Mari hijaukan Indonesia, mulai dengan #energixurya

Xurya, Revolutionizing Energy!

#renewableenergy #solarenergy #solarpower #energisurya #EBT #PLTSAtap #solarrooftop",Energy,POSITIVE
Cqeotg7Lxnb,"Serbuk Bokashi'
dibuat dengan sekumpulan kultur bakteri berkualitas tinggi, penuh dengan milyaran mikroba hidup, yang mampu memfermentasi dan mengomposkan sisa makanan Anda. 

Serbuk Bokashi bertindak sebagai akselerator kompos yang mempercepat proses penguraian sampah dapur menjadi pupuk, dengan kontrol bau.

Mengubah Sampah Dapur menjadi pupuk organik.
Mempercepat pengomposan an-aerobik sampah organik, dapur dan kebun.

Serbuk Bokashi Mengontrol bau busuk.

Serbuk Bokashi Aplikasi yang mudah - Kemasan yang dapat ditutup kembali 

Serbuk Bokashi untuk penggunaan berulang.
Manfaat

Menghasilkan pupuk organik dari sampah dapur

Mengubah sampah dapur Anda menjadi makanan super untuk kebun, halaman rumput dan tanaman rumah Anda

Tidak ada bau busuk saat dilakukan secara aerobik.

Cara Menggunakan:
Masukkan sampah makanan ke dalam tempat sampah kompos, taburkan Bokashi dan tekan-tekan.
Ulangi proses ini saat membuat lapisan baru dari sampah makanan.
Diamkan tempat sampah kompos yang sudah penuh selama 4 minggu.
Tiriskan cairan di bagian bawah tempat sampah setiap 3-4 hari sekali, dan encerkan dengan perbandingan 1:100 untuk semprotan daun.
Buat lapisan kecil Tanah/CoPeat dan tambahkan beberapa inci kompos yang telah difermentasi, ulangi siklus ini hingga pot penuh
Setelah 2 - 4 minggu, tanam tanaman Anda ke dalam tanah yang telah diperkaya dengan Bokashi ini.
 
✅🌳🌏💚♻
________________________________
#gogreen #zerowaste #bokashicomposting #bokashi #urbankomposter #belajarngompos #kompos #kebun #tamanbalkon #ramahlingkungan #bokashibran #kebunorganik #komposter #composter #bokashikompostering #bokashikomposter #bokashikompos #bokashitea #bokashijuice #urbanfarming #urbancomposter #sampahorganik #sampahmakanan #foodwaste #reducereuserecycle #microorganisms #komposter #ramahlingkungan #foodwaste #serbukbokashi",Waste,NEUTRAL
